tender_no,title,organization,status,closing_date
PD ( GSC) Qesco-05(2025-26),"Const of RCC Pile foundation,etc..","Quetta Electric Supply Company (QESCO),Quetta city, Pakistan",,"Dec 22, 2025"
0153/LP/CMC/55/P-A,Procurement of Industrial Chemical,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 22, 2025"
BRT/MKTG/12/2025-26,"Sale of 20,000 tons 4.00 G/Cmᶟ of Barite Ore from Khuzdar","Pakistan Petroleum Limited,Quetta city, Pakistan",,"Dec 22, 2025"
1-4 (outsourcing services) / NCRC /2025,Provision of Outsourcing of Services of Naib Qasid & Sweepr,"Ministry of Human Rights,Islamabad, Pakistan",,"Dec 22, 2025"
FOR DETAILS PLEASE VISIT: https://pnsc.com.pk/tenders,INTERNATIONAL TENDER FOR PROCUREMENT OF ALUM/ZINC ANODES FOR,"Pakistan National Shipping Corporation (PNSC),Karachi central, Pakistan",,"Dec 22, 2025"
4503,"Hiring of Machinery,etc..","Cantonment Board,Karachi central, Pakistan",,"Dec 22, 2025"
6000-A/16/E6,Const of Office Cum Storage... Const of Office Cum Storage,"Military Engineering Services (Army),Taxila, Pakistan",,"Dec 22, 2025"
6001/143/E-6,Repair/ Replacement of 3 Posts..,"Military Engineering Services (Airforce),Chakwal, Pakistan",,"Dec 22, 2025"
2025-26/MIII-GRW/14,M&R OF RESIDENTIALS BUILDINGS,"Gujranwala Electric Power Company Limited,Gujranwala, Pakistan",,"Dec 22, 2025"
"Repair/ Maint of Foundation,etc.","Repair/ Maint of Foundation,etc..","Military Engineering Services (Airforce),Karachi central, Pakistan",,"Dec 22, 2025"
09/2025-26,Conductuing Third Party Review/Audit of NIE,"Ministry of Science and Technology,Islamabad, Pakistan",,"Dec 22, 2025"
10/2025-26,Conductuing Third Party Review/Audit of NIO,"Ministry of Science and Technology,Islamabad, Pakistan",,"Dec 22, 2025"
05/2025-26,Conductuing Third Party Review/Audit of NMIP,"Ministry of Science and Technology,Islamabad, Pakistan",,"Dec 22, 2025"
07/2025-26,Conductuing Third Party Review/Audit of PASTIC,"Ministry of Science and Technology,Islamabad, Pakistan",,"Dec 22, 2025"
08/2025-26,Conductuing Third Party Review/Audit of PCSIR,"Ministry of Science and Technology,Islamabad, Pakistan",,"Dec 22, 2025"
12029,INVITATION TO BID PROCUREMENT OF LED TUBE RODS 14W COOL DAY,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 22, 2025"
11/2025-26,Conductuing Third Party Review/Audit of PHA,"Ministry of Science and Technology,Islamabad, Pakistan",,"Dec 22, 2025"
12/2025-26,Conductuing Third Party Review/Audit of PNCA,"Ministry of Science and Technology,Islamabad, Pakistan",,"Dec 22, 2025"
06/2025-26,Conductuing Third Party Review/Audit of (PSF),"Ministry of Science and Technology,Islamabad, Pakistan",,"Dec 22, 2025"
12027,TENDER NOTICE REPAIR AND MAINTENANCE OF TENSIL FABRIC SHED O,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 22, 2025"
Conductuing Third Party Review/Audit of ( PSQCA),Services Required,"Ministry of Science and Technology,Islamabad, Pakistan",,"Dec 22, 2025"
12033,TENDER NOTICE PROCUREMENT OF TOILET FITTINGS AND MISCELLANEO,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 22, 2025"
2993-2998MM,FESCO TENDER NOTICE Supply of MIS Material,"Faisalabad Electric Supply Company (FESCO),Faisalabad, Pakistan",,"Dec 22, 2025"
12026,"TENDER NOTICE IMPROVEMENT OF TOILETS AT SUPPLY DEPOT, JIAP,","Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 22, 2025"
20/0001/00-0/1-2025,Tender are invited for miscellaneous items Corrigendum,"Pakistan Railways,Lahore city, Pakistan",,"Dec 22, 2025"
12025,TENDER NOTICE RECONSTRUCTION OF GENERATOR ROOM AND PROVISION,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 22, 2025"
12024,TENDER NOTICE REVAMPING / REPLACEMENT OF COMPLETE ENGINE ASS,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 22, 2025"
HEC-0330,Prequalification of Firms Wired and Wireless Services for PERN Connectivity,"Higher Education Commission,Islamabad, Pakistan",,"Dec 22, 2025"
25121499393,EQUIPMENT PURCHASE FOR PHYSICS LABORATORIES FOR SNS-NUST,"NUST School of Natural Sciences (SNS),Islamabad, Pakistan",,"Dec 21, 2025"
"GNM-112/25-26(35),GNM-113/2526(47)",SCIENTIFIC CONSUMABLE LABS AND STATIONARY/CLEANING ITEMS,"Gujranwala Institute of Nuclear Medicine and Radiotherapy,Gujranwala city, Pakistan",,"Dec 20, 2025"
"0042/LP/Fill/53,0036/0038/0049/0066/0067/0074/0069/LP/Fil/56",PROCUREMENT OF MISC ITEMS FILLING FACTORY WAH CANTT,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 20, 2025"
SSGC/SC/PT/EPADS/14143,"Civil Works Revamping, Construction / Modification of SSGC’s","Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 31, 2025"
SSGC/SC/PT/EPADS/14142,Construction Activities for Rehabilitation of Natural Gas Di,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 31, 2025"
LED/113/25,Wireless access Points and Wireless LAN Controllers,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 19, 2025"
LP/T-2371/25,Adobe Photoshop & Illustrator Annual Subscription Renewal,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Dec 19, 2025"
FP/T-0005 (Corrigendum),Supply of Semi conductor Chip for ID1 Card,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Jan 7, 2026"
LET/160/25,AERIAL LIFT PLATFORM,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 19, 2025"
FP/T-0003,"Laser able Transparent Sheets, White Polycarbonate Sheets & Non- Laser able Transparent Sheet","Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Dec 19, 2025"
LP/T-2370/25,Services for Incineration of Inks,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Dec 19, 2025"
GSD (PROC-III)/ 357534 / Cash Handling Machines / 2025-26,Supply of Cash Handling Machines,"State Bank of Pakistan,Karachi west, Pakistan",,"Dec 19, 2025"
15/GSC (2025-26),Civil work Civil Work,"Multan Electric Power Company (MEPCO),Multan, Pakistan",,"Dec 19, 2025"
LP/T-2369/25,Supply of Doctor Blade Carbon Steel Size 28 X 0.15 MM Roll of 100 Meters,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Dec 19, 2025"
OPF-1371,"PROCUREMENT OF 12,000 PRE-PRINTED OPF MEMBERSHIP CARDS","Overseas Pakistanis Foundation,Islamabad, Pakistan",,"Dec 19, 2025"
CUI/ATK-Comp/90/(2025-2025),Supply of Computer Systems,"COMSATS University,Attock, Pakistan",,"Dec 19, 2025"
05/2025,Purchase of Office and Classroom Equipment,"NUST College of Electrical and Mechanical Engineering,Rawalpindi, Pakistan",,"Dec 19, 2025"
FURNITURE/FIXTURES ETC.,DISPOSAL OF SCRAP ITEMS AT SBP BSC HO KCI,"State Bank of Pakistan,Karachi east, Pakistan",,"Dec 19, 2025"
ADB-LESCO-EPC-003-2025,Procurement & Installation of Aerial Bundled Conductor (ABC) Corrigendum,"Lahore Electric Supply Company (LESCO),Lahore, Pakistan",,"Dec 19, 2025"
Proc-126-R,TENDER NOTICE Purchase of Desktop Computers,"Balochistan University of Information Technology, Engineering and Management Sciences (Buitems),Quetta city, Pakistan",,"Dec 19, 2025"
01/2026/FSD,Tender for Stitching of Uniform items ASF Faisalabad Airport,"Airports Security Force,Karachi central, Pakistan","Apr 21, 2026","Dec 19, 2025"
7885/RT-7703/25-26/FWA/GF/SCM,Instl of Cutting Fluid / Coolant Sys on HDL and Universal Ma,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 19, 2025"
RE/SB/SUK/DEC/2025,Installation 02 (Two) Horizontal Sign Boards at SLB-Sukkur,"State Life Insurance Corporation of Pakistan,Sukkur city, Pakistan",,"Dec 19, 2025"
ROW,IFB for OM&M of Services Areas and Rest Areas on Advance Net Services Areas,"National Highway Authority (NHA),Islamabad, Pakistan",,"Jan 6, 2026"
5081/RT-7807/25-26/FWA/SCM,Procurement of Electric Bikes (eBikes) & Transport Loader,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Jan 2, 2026"
Hiring of contractor /firm for provision of skilled/un skill,PESCO TENDER NOTICE,"Peshawar Electric Supply Company (PESCO),Peshawar, Pakistan",,"Dec 19, 2025"
805,Procurement of Security Services for SMEDA Quetta Procurement of Security Services for SMEDA Regional Office,"Small Medium Enterprise Development Authority (SMEDA),Lahore, Pakistan",,"Dec 19, 2025"
5081/IT-6106/Upgrd/25-26/FOR-A/HRF (T)/SCM,Up-gradation of Hydraulic CNC Double Spindle Boring System,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 19, 2025"
5126/IT-6709/GF/FOR-A/25-26/SCM,Refurbishment of Straightening Press,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 19, 2025"
dgpr no.57/25-26,PESCO TENDER NOTICE Crane mounted truck driver cum operator,"Peshawar Electric Supply Company (PESCO),Peshawar, Pakistan",,"Dec 19, 2025"
5126/IT-6708/GF/FOR-A/25-26/SCM,Procurement of Tooling,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 19, 2025"
,Color Photocopier Machines along with Complete set of Toner,"Pakistan Medical and Dental Council (PMDC),Islamabad, Pakistan",,"Dec 19, 2025"
FOR DETAILS PLEASE VISIT: https://pnsc.com.pk/tenders,TENDER FOR PROCUREMENT OF HOSE HANDLING CRANE WIRES FOR PNSC,"Pakistan National Shipping Corporation (PNSC),Karachi central, Pakistan",,"Dec 19, 2025"
5041/IT-6607/FOR-A/HRF (M)/25-26/SCM,Procurement of Expendable & Tools Items for Rebuild of APC,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 19, 2025"
5041/IT-6605/25-26/FOR-A/HRF (M)/SCM,Procurement of Spares for Rebuild of APCs,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 30, 2025"
Ref.No.PMDC/Pro/Installation of Electrical Items/Sor-Range,Installation of Different Electrical Items at Sor-Range Installation of Different Electrical Items at PMDC Sor-Range,"Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan",,"Dec 24, 2025"
119/IT/5,Tender for Purchase of Stationery Items,"Ministry of Narcotics Control,Islamabad, Pakistan",,"Dec 19, 2025"
No.2-49/2025-2026/Log-I,"OPEN AUCTION OF UNSERVICEABLE ITEMS Open auction will be held on 7th January, 2026 at 11:00 am","Federal Public Service Commission,Islamabad, Pakistan",,"Dec 19, 2025"
6001/09/E-6,"T.C electrification,etc..","Military Engineering Services (Airforce),Chakwal, Pakistan",,"Dec 19, 2025"
,Sillage ( Maize) Harvesting..,"HQ Military Farm,Multan City, Pakistan",,"Dec 19, 2025"
19/2025,"Hiring Services of CA Firms, supply of Safety Hemets,etc..","Public Sector Organization,Islamabad, Pakistan",,"Dec 19, 2025"
119/IT/4,Tender for Photocopier Sorter Bins and Photocopier Machines,"Ministry of Narcotics Control,Islamabad, Pakistan",,"Dec 19, 2025"
119/IT/3,Tender for SMS Gateway Services during ANF Recruitment,"Ministry of Narcotics Control,Islamabad, Pakistan",,"Dec 19, 2025"
Procurement of Equipment & Consumables TD 365,Procurement of Equipment & Consumables,"National University of Technology (NUTECH),Islamabad, Pakistan",,"Dec 19, 2025"
2025-26/GRW/13/CLEANING,"Cleaning of residential colonies, offices area ETC","Gujranwala Electric Power Company Limited,Gujranwala, Pakistan",,"Dec 19, 2025"
RFP/bank cell/2023,PROVISION OF REVENUE COLLECTION SERVICES ACROSS THE COUNTRY Tender,"Pakistan Railways,Lahore city, Pakistan",,"Dec 19, 2025"
38/2025-26,Misc Items,"301 Central Base Spares Depot EME,Rawalpindi, Pakistan",,"Dec 19, 2025"
Proc-10/LF/Adv: Tender Notice/2025-26,PROCUREMENT OF HARDWARE Tender,"Pakistan Railways,Lahore city, Pakistan",,"Dec 19, 2025"
6000-PPRA/14/E-6,"Misc Repair,etc..","Military Engineering Services (Army),Rawalpindi, Pakistan",,"Dec 19, 2025"
IT/05/06/07,PROCUREMENT OF IT Equipment for NUST,"National University of Science and Technology,Islamabad, Pakistan",,"Dec 22, 2025"
DNTC/08-D(b)/2025-26/,Re-Construction of Fallen Boundary Wall at NTC M/w Stn QSP,"National Telecommunication Corporation (NTC),Lahore, Pakistan",,"Dec 19, 2025"
119/IT/2,Tender for Optical Marks Recognition Answer Sheets,"Ministry of Narcotics Control,Islamabad, Pakistan",,"Dec 19, 2025"
44/2025-26,Misc Items,"304 Spares Depot EME,Khanewal, Pakistan",,"Dec 19, 2025"
119/IT,Tender for Purchase of Technical Equipments,"Ministry of Narcotics Control,Islamabad, Pakistan",,"Dec 19, 2025"
45/2025-26,Misc items Misc Items,"304 Spares Depot EME,Khanewal, Pakistan",,"Dec 19, 2025"
DNTC/13-D(b)/2024-25/,Replacement of 05 x AC Units (02 Ton) at NTC RHQ Lahore,"National Telecommunication Corporation (NTC),Lahore, Pakistan",,"Dec 19, 2025"
4,Maintenance/ Painting of SST Towers,"Special Communications Organization,Muzaffarabad, Pakistan",,"Dec 19, 2025"
IGNITE/DPCH/2025-26/0021/PROC,DIGITAL PAKISTAN CYBERSECURITY HACKATHON 2025 REQUEST FOR PROPOSAL (RFP),"Ministry of IT and TeleCommunication,Islamabad, Pakistan",,"Dec 19, 2025"
0,Supply of Office/Lab Equipment- SCEE NUST,"National University of Science and Technology,Islamabad, Pakistan",,"Dec 19, 2025"
12028,INVITATION TO BID PROCUREMENT OF OPERATOR DISPLAY PANELS (QT,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 19, 2025"
,Fixed ATG..,"Northern Light Infantry Regiment,Gilgit, Pakistan",,"Dec 19, 2025"
F.7(23)2025-26-Admin,SUPPLY OF STATIONERY & MISCELLANEOUS ITEMS P-II,"National Assembly Secretariat,Islamabad, Pakistan",,"Dec 19, 2025"
2590353/R2512/360316,Procurement of Sports Ammunition,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 31, 2025"
PACB/741/42745010/0935/P-1,Procurement of Reverse Osmosis Plant,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 19, 2025"
603/267/E6,Const/Repair/Minor/Maint,"Military Engineering Services (Army),Rawalpindi, Pakistan",,"Dec 19, 2025"
19/GEN SET/ FOR/ NLC/2025,Generator Set..,"National Logistics Corporation (NLC),Rawalpindi, Pakistan",,"Dec 19, 2025"
,Subscription and Support Services ( SNS)..,"Pakistan Institute for Parliamentary Services (PIPS),Islamabad, Pakistan",,"Dec 19, 2025"
3(71)/2025-26-Admn/PIPS,"Cooling Tower FIlls Pads,etc.. ..","Pakistan Institute for Parliamentary Services (PIPS),Islamabad, Pakistan",,"Dec 19, 2025"
600-AB/NRK/122/E-6,Certain Facilties,"Military Engineering Services (Airforce),Islamabad, Pakistan",,"Dec 19, 2025"
TCP/Rice/Disposal/2025,Sale of Basmati Rice..,"Trading Corporation of Pakistan (TCP),Karachi east, Pakistan",,"Dec 19, 2025"
Ref.No. PMDC/Pro/Sohal Mine No. 2/KH,Sohal Mine No. 02 to PMDC Salt Depot Khewra,"Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan",,"Dec 19, 2025"
RFQ-2526-00078-L,Misc Lab Equipment,"Institute of Space Technology,Islamabad, Pakistan",,"Dec 19, 2025"
PIAC/Safety Shoes/2025,Safety Shoes,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Dec 19, 2025"
PIAC/PR-25010069/25,Offset Paper White,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Dec 19, 2025"
GSD (Proc-I) / 353394 / Services / Links 2 Pkgs / 2025,Internet & Intranet Connectivity Links (2-Packages),"State Bank of Pakistan,Karachi south, Pakistan",,"Dec 19, 2025"
SCP/04/2025-26/iTD,Multi Touch Kiosk,"Supreme Court of Pakistan,Islamabad, Pakistan",,"Dec 19, 2025"
SN-4774/25,Weldneck /Blind/Anchor Flanges,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 19, 2025"
PRD(L)/WAPDA/137(2025-26),WAPDA DUBER KHWAR POWER STATION PATTAN WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 19, 2025"
CMS/Gass Gen-2025-26,Services & Repairing ..,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 19, 2025"
WAH/CIVIL/004/2025-26,Repair & Installation Works ..,"Sui Northern Gas Pipelines Limited,Wah Cantt, Pakistan",,"Dec 19, 2025"
19-0225/00-0/1-2025,D.E LOCO SPARES Tender,"Pakistan Railways,Lahore city, Pakistan",,"Dec 19, 2025"
,"Stationery, Hardware, Software,etc..","Chief Commissioner Office,Islamabad, Pakistan",,"Dec 18, 2025"
835-W/23/ETSW(SSH-KDA)/2025-26,PROJECT DIRECTOR/ESSENTIAL TRACK SAFETY WORKS ON SSH-KDA SEC Tender,"Pakistan Railways,Lahore city, Pakistan",,"Dec 19, 2025"
CC/ design/5th-Floor/HO/2026,Preparation of design..,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 19, 2025"
CC/SHED/LPG- Cylinder,Const of LPG..,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 18, 2025"
NADRA-RHO LHR-RFB/2025/Auction-3,AUCTION OF BER TECHNICAL STORE ITEMS,"National Database and Registration Authority NADRA,Lahore, Pakistan",,"Dec 19, 2025"
,Preqaulification of Panel/ Workshops/Garages/ Firms,"Islamabad High Court,Islamabad, Pakistan",,"Dec 18, 2025"
36,Const of Duct Line..,"Islamabad Electric Supply Company (IESCO),Islamabad, Pakistan",,"Dec 18, 2025"
,Prequalification of Printer/ Publisher/ Firms,"Banking Mohtasib Pakistan,Karachi central, Pakistan",,"Dec 18, 2025"
LET/182/25,OFFICE FURNITURE,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 6, 2026"
LET/153/25,ELECTRIC VEHICLE (TWO WHEELER) E-Bike,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 18, 2025"
LET/152/25,TROLLEY FOR TRACTOR (14’x8’x2’),"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 18, 2025"
PASSCO/SALE/1/2025,Prequalification of Applicants for Wheat Sale,"Pakistan Agricultural Storage and Services Corporation (PASSCO),Lahore, Pakistan",,"Dec 18, 2025"
625(17-12-2025),"DIRECTORATE OF ENVIRONMENT (EAST), CDA CAPITAL DEVELOPMENT AUTHORITY","Capital Development Authority,Islamabad, Pakistan",,"Dec 18, 2025"
,,"Islamabad High Court,Islamabad, Pakistan Preqaulification of Panel/ Workshops/Garages/ Firms  Preqaulification of Panel/ Workshops/Garages/ Firms",,"Dec 18, 2025"
,,"Islamabad Electric Supply Company (IESCO),Islamabad, Pakistan Const of Duct Line..  Const of Duct Line..  36",,"Dec 18, 2025"
,,"Banking Mohtasib Pakistan,Karachi central, Pakistan Prequalification of  Printer/ Publisher/ Firms  Prequalification of  Printer/ Publisher/ Firms",,"Dec 18, 2025"
,,"Pakistan Agricultural Storage and Services Corporation (PASSCO),Lahore, Pakistan Prequalification of Applicants for Wheat Sale  Prequalification of Applicants for Wheat Sale  PASSCO/SALE/1/2025",,"Dec 18, 2025"
T-181/26 to 184/26,Procurement of T & P Items,"Multan Electric Power Company (MEPCO),Multan City, Pakistan",,"Dec 18, 2025"
FSD/T.E/023/2025,FSD/T.E/023/2025 Procurement of tyres,"Sui Northern Gas Pipelines Limited,Faisalabad, Pakistan",,"Dec 18, 2025"
USF/TDRS/IT/DRSITE/2025-26/12,Provision of Disaster Recovery Site,"Universal Services Fund Company,Islamabad, Pakistan",,"Dec 18, 2025"
,Hospital Comforts..,"Pakistan Airforce,Quetta city, Pakistan",,"Dec 18, 2025"
,Conservancy Items,"Pakistan Airforce,Bari kot, Pakistan",,"Dec 18, 2025"
,Customisation & Implementation of ERP – Odoo Enterprise,"PIA Holding Company Limited PIAHCL,Islamabad, Pakistan",,"Dec 18, 2025"
SSGC/LP/EPADS/NR/2111994,SSGC/LP/EPADS/NR/2111994 (SPARES),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 18, 2025"
,Appointment of Legal Advisor on Retainership Basis,"PIA Holding Company Limited PIAHCL,Islamabad, Pakistan",,"Dec 18, 2025"
,Uniform & Protective Clothing,"Collectorate of Customs, Custom House,Lahore city, Pakistan",,"Dec 18, 2025"
,,"National Insurance Company Limited,Karachi central, Pakistan Procurement of Uniform, Shoes and Sweaters for Staff  .  NICL/Procurement/2025/47",,"Dec 18, 2025"
,,"Public Sector Organization,Islamabad, Pakistan Chemicals, Glasswares,etc..  Chemicals, Glasswares,etc..  C122-129/2025",,"Dec 18, 2025"
,,"Sui Northern Gas Pipelines Limited,Mardan, Pakistan Bricks ..  Bricks ..  FCS/MDR/TE/008/2025",,"Dec 18, 2025"
,,"Pakistan Security Printing Corporation,Karachi central, Pakistan Supply of Package Unit 20-TR & Hiring Services Installation   of Ducting, Commissioning and Test Run of  Package Unit  LP/T-2367/25 (corrigendum)",,"Jan 2, 2026"
,,"Sukkur Electric Power Company (SEPCO),Sukkur city, Pakistan Procurement Of Distribution Materials MM SEPCO  Sukkur Electric Power Company (SEPCO) Invites E-Bid  1351/25 To 1369/25",,"Dec 18, 2025"
SRD/2025/123 CASTING/MANUFACTURING/MACHINING,VARIOUS PARTS OF DE-FLOODING PUMP NO 1 OF DRY DOCK-II,"Karachi Shipyard and Engineering Works Ltd,Karachi west, Pakistan",,"Dec 18, 2025"
PRD(L)/WAPDA/135(2025-26),WAPDA GHAZI BAROTHA HATTIAN GHAZI BAROTHA HATTIAN,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 18, 2025"
WAH/TE/035/2025,Pressure Gauge Supply Of Pressure Gauge,"Sui Northern Gas Pipelines Limited,Wah Cantt, Pakistan",,"Jan 2, 2026"
LET/166/25,UPS MODULE FOR SCADA PRIMARY & SECONDARY DATA CENTERS,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 17, 2025"
LET/168/25,VIDEO WALL PANEL REPLACEMENT AT HO GAS CONTROL CENTER,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 6, 2026"
PIDCL/KPK/2024-25-R/45/01/01 to PIDCL/KPK/2024-25-R/45/10/10,"Tube well/Pavement/Drainage/Culvert/Shingle Road - D.I.Khan 10 Schemes, Estimated Cost Rs. 4,823,522 to 23,652,446","Pakistan Infrastructure Development Company Limited,Karachi east, Pakistan",,"Dec 26, 2025"
PCB-05-2025,"Provision of Installation, Delivery, Testing and Commissioni","Pakistan Cricket Board,Islamabad, Pakistan",,"Dec 17, 2025"
PIDCL/KPK/2024-25-R/15/01/11 to PIDCL/KPK/2024-25-R/15/58/68,"Black Top, Jeepable & PCC Roads/Streets & Causeway- Mansehra 58 Schemes, Estimated Cost Rs. 2,137,145 to Rs. 26,969,169","Pakistan Infrastructure Development Company Limited,Karachi east, Pakistan",,"Jan 2, 2026"
comparable characteristics/ features such as moisture,supply & installation of electrical equipment,"Islamabad Electric Supply Company (IESCO),Islamabad, Pakistan",,"Dec 17, 2025"
,Misc Items,"Ammunition Depot,Pattoki, Pakistan",,"Dec 17, 2025"
PRD(L)/WAPDA/136(2025-26),WAPDA RE CHITRAL HYDEL POWER STATION CHITRAL,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 17, 2025"
09/2025,"Supply, Fabrication and Installation of Durable, Weather Resistant, Outdoor, Illuminated Acrylic Logo","Oil and Gas Regulatory Authority (OGRA),Islamabad, Pakistan",,"Dec 17, 2025"
ZTBL-28-2025,"Transactions Montoring , Sanctions, PEP Scanninig Software Solution Transactions Montoring , Sanctions, PEP Scanninig Software Solution and Lists","Zarai Taraqiati Bank Ltd (ZTBL),Islamabad, Pakistan",,"Dec 17, 2025"
Proc-125-R,TENDER NOTICE Purchase of Sports Goods,"Balochistan University of Information Technology, Engineering and Management Sciences (Buitems),Quetta city, Pakistan",,"Dec 17, 2025"
IFB No. ISB/GSU / 355411 /Car Rental Services / 2025,Procurement of Car Rental Services for SBP BSC Islamabad,"State Bank of Pakistan,Islamabad, Pakistan",,"Dec 17, 2025"
6000/PPRA/41/E-6,Repair/ Repl of Ext Elect ...,"Military Engineering Services (Army),Nowshera, Pakistan",,"Dec 17, 2025"
02/25-236,Hiring of Vehicles..,"Sui Northern Gas Pipelines Limited,Wah Cantt, Pakistan",,"Dec 17, 2025"
ADMIN:ABT:11.5,Provision of Vehicles..,"Sui Northern Gas Pipelines Limited,Abbottabad, Pakistan",,"Dec 17, 2025"
PD/O&M/PP/32389/25,"Supply of spares,etc..","Pakistan Petroleum Limited,Karachi central, Pakistan",,"Dec 17, 2025"
SSGC/LP/EPADS/PT/2108972,SSGC/LP/EPADS/PT/2108972 (Batteries),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 17, 2025"
Re‐Tender 2025‐26 XEN/Civil‐31,"M&R of B‐Type Bungalow No 04, Brick Work,etc..","Hyderabad Electric Supply Company (HESCO),Hyderabad, Pakistan",,"Dec 17, 2025"
,"Media Chemicals, Regents..","University of Balochistan (UOB),Quetta city, Pakistan",,"Dec 17, 2025"
LET/175/25,AIR CONDITIONER & AC STABILIZER,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 17, 2025"
SSGC/LP/EPADS/PT/2110986,SSGC/LP/EPADS/PT/2110986 (Polyethylene Pipe (PE-100) 20mm),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 17, 2025"
SNGPL/NP&D/02/25,"Re- Certification of Network, Planning,etc.. Re- Certification of Network, Planning,etc.","Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 17, 2025"
SSGC/LP/EPADS/PT/2108973,SSGC/LP/EPADS/PT/2108973 (Cathodic Protection Material),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 17, 2025"
SSGC/LP/EPADS/PT/2108971,SSGC/LP/EPADS/PT/2108971 (Laptop Computer),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 17, 2025"
6000-PPRA/24A/e-6,TC B&R for Minor/ Maint/Deposit Works ..,"Military Engineering Services (Army),Quetta city, Pakistan",,"Dec 17, 2025"
SSGC/LP/EPADS/PT/2110987-2,SSGC/LP/EPADS/PT/2110987-2 (Solar Photovoltaic System),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 9, 2026"
SSGC/LP/EPADS/PT/2108976,SSGC/LP/EPADS/PT/2108976 (Polyethylene Pipe (PE-100) 63mm),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 17, 2025"
Ref No.PMDC/Pro/Trns/Makrach/Mine No.12/MK,Transportation of rock salt from Makrach Mine No.12,"Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan",,"Dec 17, 2025"
Ref.No. PMDC/Pro/Exc&T/Jansukh Mine No.22/WA,Jansukh Mine No. 22 at PMDC Salt Mines Warcha,"Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan",,"Dec 17, 2025"
2513160/B-2512/340320,"Rope Nylon Hawserlaid, 3- Strand, Circ: 3-1/2 Inch, Nom Dia:","Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 17, 2025"
2514215-B-2512/340314,International GTA 713 Thinner,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 17, 2025"
